PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
294,49641083,17366600,Active,18,,,33.76,5.22851,26.4625,38.437,36.3838
295,87345656,661767,Active,18,,,33.47,6.41028,27.3806,42.3324,30.7038
296,87336045,238485,Active,18,,,33.39,5.20535,30.3398,40.7202,29.1178
297,24795658,814460,Active,18,,,32.55,3.40309,29.4121,37.2768,30.952
298,4244429,6602844,Active,18,,,32.43,6.86706,40.4722,33.1147,23.6937
299,93576619,24847763,Active,18,,,32.4,1.00949,31.4454,31.9586,33.7968
300,99358365,46903278,Active,18,,,32.33,2.91589,35.7609,32.5969,28.6334
301,17517448,4606887,Active,17,,,32.14,6.20016,35.2621,37.6673,23.4781
302,99358657,46903436,Active,17,,,31.81,2.31027,34.5804,28.9253,31.9336
303,24830322,2427877,Active,17,,,31.8,5.16478,24.9494,33.0293,37.4199
304,93576595,45479725,Active,17,,,31.71,2.38073,28.6287,34.4236,32.0919
305,7972112,801091,Active,17,,,31.09,8.00971,23.0699,28.1817,42.0301
306,4260008,791293,Active,17,,,30.47,0.747232,30.1832,29.7339,31.4951
307,17516822,2309186,Active,16,,,30.08,1.76636,32.1748,30.2251,27.8549
308,24828894,9650424,Active,16,,,29.69,0.496279,29.0382,29.7948,30.2405
309,26658960,3682341,Active,16,,,29.53,4.45159,35.7937,26.9159,25.8717
310,74373521,56603524,Active,16,,,29.35,2.36195,29.1814,26.5455,32.3237
311,16952655,135495242,Active,16,,,29.31,3.47845,24.4025,31.5266,32.0122
312,49643632,3671778,Active,16,,,29.26,4.75945,22.5694,33.2483,31.9594
313,24818972,1487975,Active,16,,,29.15,4.62515,35.6046,24.9908,26.8661
314,87349383,6602855,Active,16,,,29,3.79369,32.8927,30.2529,23.8567
315,99358882,46903631,Active,16,,,28.94,4.92249,32.4976,21.9825,32.3503
316,103060269,49786500,Active,16,,,28.85,1.29092,28.4808,27.4804,30.5784
317,26659995,135802829,Active,15,,,28.41,4.52226,33.636,28.9985,22.6053
318,24800015,16191685,Active,15,,,28.39,4.52833,32.1808,30.9579,22.0219
319,121283150,4257396,Active,15,,,28.3,2.75722,30.2677,30.2226,24.3964
320,85201617,44202701,Active,15,,,28.23,4.62482,27.4398,34.2481,23.0027
321,56463137,9828429,Active,15,,,27.86,3.29755,28.784,23.4425,31.3605
322,14746288,2878147,Active,15,,,27.75,2.2466,27.7943,24.9769,30.4794
323,17508579,602112,Active,15,,,27.72,2.88147,25.7177,31.7992,25.6561
324,14719328,1833,Active,15,,,27.67,3.25285,23.3709,28.3985,31.2379
325,57263614,9106349,Active,15,,,27.31,1.95655,24.9988,29.7822,27.1347
326,121285678,51361014,Active,14,,,26.66,5.60584,18.8396,29.4374,31.7003
327,49719660,20936128,Active,14,,,26.5,1.9145,25.1652,25.124,29.2057
328,7972118,1067975,Active,14,,,26.29,3.04341,30.0783,22.6267,26.1646
329,26732635,11957541,Active,14,,,26.29,2.31376,27.0438,23.1523,28.6664
330,7974278,2845852,Active,14,,,26.08,6.00841,33.4219,18.7045,26.1199
331,49665790,2662,Active,14,,,25.28,2.66552,25.5397,21.8867,28.3998
332,49643359,24746970,Active,14,,,25.11,3.97735,28.2992,19.5058,27.5348
333,24796902,2212292,Active,13,,,24.62,2.9786,22.3223,28.823,22.7039
334,14742605,3769487,Active,13,,,24.53,4.3553,30.6125,22.3544,20.6344
335,49665461,17367857,Active,13,,,24.43,1.86702,25.1602,26.2611,21.8665
336,861215,662470,Active,13,,,24.38,1.41943,22.4498,24.8854,25.8164
337,121285068,51360425,Active,13,,,24.37,3.00083,20.212,25.6911,27.1951
338,844541,646868,Active,13,,,24.34,7.97467,25.0704,14.2229,33.7153
339,56422216,5282386,Active,13,,,24.26,1.31795,24.0901,22.7305,25.9461
340,24791268,2374706,Active,13,,,24.1,6.52678,33.1279,21.2604,17.9169
341,22405752,9651810,Active,13,,,24.09,5.38282,19.9028,20.6713,31.6863
342,57264274,20833557,Active,13,,,23.9,2.44275,27.1239,23.3708,21.2116
343,24788392,4625345,Active,13,,,23.81,4.43025,23.4908,29.3892,18.5515
344,99358614,46903393,Active,13,,,23.76,2.64189,25.3781,25.8665,20.0339
345,24819408,3024499,Active,13,,,23.74,3.81881,19.5661,28.7969,22.8707
346,26668408,2941783,Active,13,,,23.61,6.20772,22.7896,16.4462,31.5858
347,22415354,2923807,Active,12,,,22.9,7.24738,14.7498,32.3572,21.5925
348,49675723,4657144,Active,12,,,22.86,6.42907,31.3708,15.8355,21.3695
349,47200989,2836942,Active,12,,,22.78,1.62747,23.4225,20.5401,24.3662
350,861257,662516,Active,12,,,22.61,2.08212,20.5191,21.8645,25.4522
351,56463013,104895,Active,12,,,22.59,4.18382,27.08,17.0091,23.6883
352,4241018,718833,Active,12,,,22.57,9.68319,22.3723,10.8045,34.521
353,49679507,24762046,Active,12,,,22.39,1.42319,20.5225,23.9746,22.6687
354,26659085,2006230,Active,12,,,22.32,3.96001,27.7074,20.9639,18.2973
355,26671273,16682697,Active,12,,,21.69,0.914631,20.9012,21.1961,22.972
356,26732095,16746285,Active,12,,,21.55,3.8344,17.017,26.3932,21.2292
357,24833818,6235738,Active,11,,,21.32,1.2463,22.838,19.7855,21.3476
358,22401342,3784518,Active,11,,,21.17,1.78544,22.5487,18.653,22.322
359,857464,9568645,Active,11,,,21.09,2.71462,24.7987,18.3714,20.1089
360,49645338,17367617,Active,11,,,21.04,4.43492,15.0743,22.36,25.6954
361,103074916,17367783,Active,11,,,20.59,2.46563,23.9956,18.232,19.5507
362,24815026,2136908,Active,11,,,20.55,2.5933,18.9938,18.4584,24.2078
363,49640830,45592,Active,11,,,20.19,2.06712,17.2926,21.9549,21.3343
364,24782919,4444521,Active,11,,,20.15,3.91642,18.0454,16.7608,25.6363
365,14738122,707191,Active,11,,,20.04,2.3791,21.6818,16.6752,21.7614
366,85198242,25058302,Active,11,,,19.78,2.94628,16.5636,23.6836,19.1027
367,3717146,2319965,Active,10,,,19.62,1.0882,20.6643,18.1206,20.0824
368,3711923,1137490,Active,10,,,19.61,2.60097,16.0353,22.1464,20.6509
369,24797246,592122,Active,10,,,19.57,2.60996,18.0597,23.2396,17.4047
370,49642916,135477217,Active,10,,,19.35,4.29617,20.4917,23.9465,13.6107
371,49665609,17365849,Active,10,,,19.17,1.17166,17.5662,20.3249,19.631
372,121283285,335091,Active,10,,,19.12,6.2279,27.7448,13.266,16.3444
373,56436692,24983197,Active,10,,,18.92,2.47199,20.2491,15.4585,21.0609
374,87349786,11957155,Active,10,,,18.9,3.45809,23.7453,15.9131,17.0353
375,47196683,2922977,Active,10,,,18.84,2.30615,21.953,18.123,16.4421
376,24783252,1402301,Active,10,,,18.78,6.64652,10.7869,18.4922,27.0599
377,17410046,5706848,Active,10,,,18.77,0.732109,19.7635,18.0253,18.5123
378,14740010,3773817,Active,10,,,18.58,3.32623,15.1552,23.0831,17.4918
379,49717807,6616606,Active,10,,,18.5,4.00996,22.4621,20.0249,13.0031
380,4243356,2049501,Active,10,,,18.43,7.7704,18.9521,8.66212,27.6741
381,26668949,2205156,Active,10,,,18.12,3.05342,21.7504,18.3363,14.2803
382,85201777,44202859,Active,10,,,18.02,1.63122,15.8771,19.8294,18.3618
383,17517050,2312223,Active,10,,,17.95,2.67692,16.3964,15.745,21.7212
384,24782918,3302392,Active,9,,,17.88,2.79264,17.8612,14.4708,21.3113
385,14739373,2940376,Active,9,,,17.81,1.49325,18.2724,19.3575,15.7899
386,4259183,3155911,Active,9,,,17.79,4.74612,11.3483,22.6398,19.3904
387,49646837,5586064,Active,9,,,17.77,0.990811,17.9426,16.4853,18.8947
388,22409646,135521622,Active,9,,,17.77,5.1435,19.9118,10.6757,22.7147
389,17432262,2963825,Active,9,,,17.5,0.428343,17.8647,17.7378,16.8992
390,16953945,4072352,Active,9,,,17.46,4.0307,17.0019,22.6125,12.7715
391,103075920,49790810,Active,9,,,17.27,2.40149,16.63,14.708,20.4837
392,121284955,51360316,Active,9,,,17.13,2.78065,20.5815,13.7723,17.0347
393,24795037,706924,Active,9,,,17.09,4.2037,13.6633,23.0115,14.5986
394,17387697,11948857,Active,9,,,17.08,2.02298,14.2924,17.9302,19.0252
395,26732159,16061013,Active,9,,,17.04,4.2853,12.9952,15.1478,22.9688
396,49641464,17293376,Active,9,,,17.01,2.63632,20.7281,15.3908,14.9113
397,24818142,1488909,Active,9,,,16.97,2.19289,13.9234,19.0007,17.9803
398,24811338,16193304,Active,9,,,16.93,3.31018,14.6768,14.5012,21.6093
399,49821217,1006401,Active,9,,,16.9,7.81262,7.18542,17.1947,26.3155
400,57256908,16324411,Active,9,,,16.62,4.16832,12.3142,22.2621,15.2964
401,17387473,11948845,Active,9,,,16.58,2.26091,18.9113,17.3065,13.5185
402,49674626,2333101,Active,9,,,16.37,1.64428,14.5431,18.5274,16.0247
403,842364,644628,Active,9,,,16.12,2.23513,17.9897,17.3976,12.9801
404,855513,6088,Active,8,,,15.88,2.03348,15.6686,18.4644,13.4965
405,3711771,2312128,Active,8,,,15.85,0.884059,15.3749,17.09,15.0875
406,3716771,9568140,Active,8,,,15.76,2.705,12.0519,18.4286,16.7989
407,51087849,12627145,Active,8,,,15.67,1.59679,14.3393,14.7459,17.9116
408,49643455,2855690,Active,8,,,15.63,2.18156,12.5479,17.2473,17.1006
409,24798412,16190083,Active,8,,,15.5,0.950519,16.7089,15.4179,14.3854
410,49675964,16298395,Active,8,,,15.47,3.04498,14.2318,19.663,12.5202
411,4264254,2965107,Active,8,,,15.47,2.1401,17.4862,12.5055,16.4118
412,26667387,16682547,Active,8,,,15.37,10.1255,12.294,29.0142,4.78914
413,17506273,6873153,Active,8,,,15.32,6.22903,11.6589,10.2188,24.0936
414,56422720,661482,Active,8,,,15.25,3.18688,11.5825,14.8081,19.3516
415,22409509,2307622,Active,8,,,15.24,2.53164,16.8299,17.2232,11.6669
416,47203452,2251173,Active,8,,,15.19,4.67748,9.22627,20.6491,15.708
417,49641835,24746835,Active,8,,,15.1,0.54649,15.8414,14.9046,14.5449
418,121284953,51360314,Active,8,,,15.09,2.9861,15.912,11.0952,18.2706
419,24781940,16187683,Active,8,,,15.09,1.49854,15.2109,16.8621,13.1974
420,24809541,3161294,Active,8,,,14.97,1.72535,12.6239,16.7165,15.5832
421,4263911,1259832,Active,8,,,14.9,5.52991,11.946,22.653,10.114
422,22405062,821662,Active,8,,,14.81,1.44884,15.5294,16.1092,12.7872
423,57264262,25162976,Active,8,,,14.8,2.21162,17.215,11.8719,15.3174
424,49818613,24817548,Active,8,,,14.8,3.20866,12.7099,12.349,19.3289
425,22411671,798571,Active,8,,,14.65,3.40019,19.4562,12.1414,12.3497
426,87343754,9550477,Active,8,,,14.55,2.35109,17.737,13.7613,12.1409
427,124753858,49781242,Active,8,,,14.41,3.57034,14.8312,18.559,9.84374
428,56322627,65329,Inactive,8,,,14.33,3.60186,13.2959,10.5346,19.1721
429,56463353,441362,Inactive,7,,,14.31,4.34455,8.58535,15.2579,19.1012
430,47196821,2970858,Inactive,7,,,14.31,0.983311,14.9,15.1005,12.9216
431,24799549,16191220,Inactive,7,,,14.25,2.37202,10.947,15.4208,16.3944
432,87347327,659661,Inactive,7,,,14.19,4.79997,20.9719,10.5014,11.1045
433,24808614,16192921,Inactive,7,,,13.98,3.12433,17.6146,14.3478,9.98765
434,47204175,23724396,Inactive,7,,,13.84,1.9587,11.5863,16.3607,13.5634
435,24795909,2985238,Inactive,7,,,13.83,3.41143,14.0898,9.52393,17.8678
436,24822133,2767088,Inactive,7,,,13.81,1.31844,15.4831,13.6785,12.2613
437,22412493,3683454,Inactive,7,,,13.53,3.70119,18.5856,12.1672,9.83139
438,17387794,11948866,Inactive,7,,,13.41,1.20297,12.9297,12.2357,15.0628
439,851936,654542,Inactive,7,,,13.39,6.23185,13.2988,5.80963,21.0736
440,49825734,1293541,Inactive,7,,,13.38,2.18653,15.8449,13.7707,10.5314
441,99356446,46902362,Inactive,7,,,13.32,0.525894,12.5964,13.5442,13.8258
442,49718049,2973244,Inactive,7,,,13.25,8.28268,6.42366,8.42743,24.9099
443,17514484,4362464,Inactive,7,,,13.24,1.03255,11.9689,13.2581,14.498
444,24812344,16193598,Inactive,7,,,13.16,1.91004,11.4011,15.816,12.2673
445,47202210,2163740,Inactive,7,,,13.15,0.736197,14.0077,12.2098,13.2294
446,14735790,2186738,Inactive,7,,,13.09,3.22057,17.0573,9.16912,13.0325
447,24825752,16195925,Inactive,7,,,12.92,1.87412,10.3117,14.6248,13.8295
448,93577483,275781,Inactive,7,,,12.89,6.91426,14.8218,3.62509,20.2283
449,24804702,16192682,Inactive,7,,,12.87,2.41711,10.4093,16.1544,12.0422
450,49819227,899146,Inactive,7,,,12.64,2.37996,9.98336,15.7598,12.1909
451,4262868,1246117,Inactive,7,,,12.59,4.87447,19.4539,9.70112,8.61216
452,24828035,3311104,Inactive,6,,,12.48,3.50231,7.83808,16.2968,13.3065
453,49714235,20861552,Inactive,6,,,12.4,9.1017,25.1815,7.32026,4.69595
454,14740564,1378950,Inactive,6,,,12.4,3.09374,8.96203,11.7682,16.4614
455,49677428,24761842,Inactive,6,,,12.34,3.09172,16.1457,8.57277,12.3115
456,14721008,778083,Inactive,6,,,12.26,1.1824,13.189,10.5956,13.009
457,4255829,1258223,Inactive,6,,,12.14,5.46545,19.7839,7.34383,9.27969
458,92764581,98289,Inactive,6,,,12.13,3.38493,8.37043,16.5749,11.4362
459,57261546,17370151,Inactive,6,,,12.06,2.50781,9.10654,11.83,15.2367
460,14733505,897932,Inactive,6,,,11.92,1.73256,14.1182,11.7582,9.88352
461,103060914,49786926,Inactive,6,,,11.68,1.28669,12.409,12.7674,9.87639
462,17514894,12005914,Inactive,6,,,11.64,2.43116,9.9729,9.87885,15.0825
463,14737642,5158911,Inactive,6,,,11.63,4.64756,18.15,7.63878,9.10823
464,125305548,53382893,Inactive,6,,,11.6,3.71844,10.5544,7.65168,16.5798
465,11532962,5312126,Inactive,6,,,11.57,1.01623,12.985,11.0594,10.6561
466,4265450,135509352,Inactive,6,,,11.54,1.28474,11.2205,13.2447,10.1459
467,22414190,4321847,Inactive,6,,,11.5,7.36062,8.39909,21.6508,4.43726
468,24798280,730813,Inactive,6,,,11.44,1.99479,8.67839,12.3134,13.3237
469,121284956,51360317,Inactive,6,,,11.29,3.40609,9.86909,8.02037,15.9905
470,47193876,8975,Inactive,6,,,11.2,4.38185,17.3954,8.21178,7.99233
471,47201884,2934159,Inactive,6,,,11.19,2.09098,12.9933,12.3076,8.25471
472,17433319,2945846,Inactive,6,,,11.14,1.86715,8.50319,12.6246,12.2811
473,24830754,1202551,Inactive,6,,,11.12,1.09698,12.1681,11.5765,9.60237
474,47195532,819949,Inactive,6,,,11.06,4.01,7.51973,16.6647,8.98771
475,17432293,630816,Inactive,6,,,11.03,6.10942,19.2262,9.29648,4.56526
476,47201382,162386,Inactive,6,,,10.97,3.57421,16.0004,8.84089,8.0568
477,124753626,3247173,Inactive,6,,,10.92,2.09272,8.432,10.7707,13.5517
478,845468,647818,Inactive,6,,,10.91,1.52775,10.7366,12.8598,9.12948
479,121284430,51359898,Inactive,6,,,10.88,1.73416,8.44452,11.8461,12.3487
480,22405016,1811569,Inactive,5,,,10.62,3.03801,12.5045,13.0278,6.33751
481,16953297,1212421,Inactive,5,,,10.61,0.774752,11.6582,10.3687,9.80768
482,124753634,50919303,Inactive,5,,,10.55,1.94733,13.3053,9.09877,9.25428
483,4257713,1262175,Inactive,5,,,10.48,2.04209,13.2961,9.62177,8.51955
484,14736723,2201684,Inactive,5,,,10.45,2.03931,11.8265,11.9643,7.571
485,7970050,1881562,Inactive,5,,,10.38,0.628537,10.9394,10.6932,9.50012
486,3712158,2565377,Inactive,5,,,10.36,6.27241,18.6087,3.40746,9.07549
487,93577142,3384949,Inactive,5,,,10.35,3.89481,14.6118,5.19838,11.2479
488,14740061,875656,Inactive,5,,,10.26,5.98873,6.19001,18.7304,5.86886
489,93576942,45479880,Inactive,5,,,10.25,4.04434,14.0052,4.63521,12.1054
490,56320304,5182253,Inactive,5,,,10.23,3.70938,6.60971,8.75935,15.3299
491,22415451,2920123,Inactive,5,,,10.14,0.971647,11.3833,9.01054,10.0355
492,14744871,135512383,Inactive,5,,,10.13,1.12049,8.59713,10.5714,11.2354
493,22405624,2123436,Inactive,5,,,10.12,1.77966,12.192,10.3134,7.84601
494,17505513,2956368,Inactive,5,,,10.11,2.16811,7.8899,9.38595,13.0509
495,843638,645935,Inactive,5,,,10.02,0.824869,11.1859,9.48519,9.39072
496,14745989,3918052,Inactive,5,,,9.98,2.6057,13.6428,8.47408,7.81554
497,26669238,654045,Inactive,5,,,9.9,9.29919,22.9351,1.87263,4.89276
498,47200480,4544980,Inactive,5,,,9.86,1.21802,9.6582,11.4385,8.47501
499,17414745,2933964,Inactive,5,,,9.81,2.42765,13.194,8.58874,7.63331
500,24788324,4132205,Inactive,5,,,9.76,1.98871,12.3774,7.56343,9.3247
501,24812170,16193542,Inactive,5,,,9.74,2.11952,11.6912,6.79723,10.7451
502,24779986,135495496,Inactive,5,,,9.72,0.440984,9.22069,10.2924,9.63955
503,47199115,6466594,Inactive,5,,,9.69,3.13764,13.1427,5.55172,10.3885
504,22402986,2453516,Inactive,5,,,9.58,2.61732,13.2812,7.64878,7.81293
505,57259041,9460093,Inactive,5,,,9.56,6.15497,4.48677,18.2219,5.97051
506,121285169,51360507,Inactive,5,,,9.46,2.37745,10.6324,6.13916,11.5941
507,7967433,2068291,Inactive,5,,,9.41,0.72386,8.78553,10.4277,9.02752
508,49726550,5832328,Inactive,5,,,9.37,8.82634,20.3314,-1.282,9.05973
509,92764518,406008,Inactive,5,,,9.31,4.83647,16.1079,6.56645,5.25581
510,22405761,3558421,Inactive,5,,,9.28,1.88033,9.9526,11.1641,6.71004
511,85269583,5864883,Inactive,5,,,9.27,4.66557,15.8595,5.6917,6.25711
512,26668352,646829,Inactive,5,,,9.26,1.69534,8.98254,7.33406,11.4592
513,47203352,19807233,Inactive,5,,,9.14,2.49324,5.82773,11.8458,9.73683
514,24808628,6458577,Inactive,5,,,9.13,0.61265,9.54029,9.58125,8.26163
515,3713975,2998624,Inactive,5,,,9.1,1.58725,6.85513,10.1502,10.2898
516,49648685,24747878,Inactive,5,,,9.09,5.31323,6.86408,3.98522,16.4165
517,842596,6603088,Inactive,5,,,9.07,3.27941,6.16909,7.38979,13.6553
518,22406708,704890,Inactive,5,,,9.02,1.15271,10.2517,9.31735,7.47704
519,47200872,17365829,Inactive,5,,,8.99,1.97935,8.38099,11.662,6.93014
520,103060443,49786598,Inactive,5,,,8.99,2.30918,10.7841,10.4491,5.72672
521,99360738,318106,Inactive,4,,,8.95,4.22764,3.12642,10.667,13.0435
522,17387979,5400800,Inactive,4,,,8.93,1.98982,6.40338,11.2675,9.10484
523,17406734,852308,Inactive,4,,,8.89,6.1407,17.5062,3.64385,5.51905
524,49677965,16825525,Inactive,4,,,8.85,6.57408,2.5529,6.06742,17.9197
525,47204868,6473116,Inactive,4,,,8.81,1.22267,7.72748,8.18029,10.5177
526,26661195,4694432,Inactive,4,,,8.8,0.101817,8.65504,8.87346,8.86851
527,17411224,6404569,Inactive,4,,,8.79,2.97724,5.06693,12.3541,8.95719
528,57262220,9110823,Inactive,4,,,8.76,2.82994,6.47978,12.7518,7.05937
529,49665641,17367751,Inactive,4,,,8.76,1.6005,10.9929,7.96193,7.3241
530,17401598,3676923,Inactive,4,,,8.61,4.29718,5.56168,14.6864,5.57982
531,103060003,3263610,Inactive,4,,,8.6,4.29435,12.7965,10.2987,2.69848
532,85149103,24011657,Inactive,4,,,8.6,1.53733,6.4459,9.40095,9.94479
533,47200474,2987849,Inactive,4,,,8.6,4.41499,14.1968,3.40566,8.18615
534,57269035,25163854,Inactive,4,,,8.57,1.76528,6.42842,8.52632,10.7518
535,17504368,3625828,Inactive,4,,,8.46,3.26741,7.43331,12.8793,5.07716
536,17512215,1559543,Inactive,4,,,8.45,2.63522,6.22318,6.9674,12.1482
537,99359189,46903801,Inactive,4,,,8.43,2.15502,8.7276,10.9136,5.65952
538,26729410,2808496,Inactive,4,,,8.39,1.83566,6.07616,8.51663,10.567
539,49645396,17367216,Inactive,4,,,8.39,6.04677,16.891,4.89549,3.36894
540,124754538,53300538,Inactive,4,,,8.35,1.02742,7.51821,9.80132,7.74287
541,7972134,2826887,Inactive,4,,,8.3,1.18679,9.97509,7.55239,7.37235
542,22412073,1234387,Inactive,4,,,8.29,3.2299,7.03818,5.10575,12.7161
543,24787481,2962427,Inactive,4,,,8.28,3.59993,13.164,4.59311,7.08353
544,26727671,2727572,Inactive,4,,,8.28,3.34365,7.90065,12.5489,4.38478
545,14722031,3193410,Inactive,4,,,8.27,1.08707,8.71666,6.77415,9.32267
546,47200151,6457804,Inactive,4,,,8.27,5.29864,3.35066,5.836,15.6254
547,24814447,16194353,Inactive,4,,,8.23,3.91472,7.58518,13.3155,3.79191
548,49665510,17365858,Inactive,4,,,8.17,2.6002,5.6746,11.7592,7.08663
549,14741742,9551710,Inactive,4,,,8.15,2.42525,8.7291,4.92722,10.7813
550,121284395,51359865,Inactive,4,,,8.09,1.9189,6.95217,10.7921,6.52467
551,49817507,24816809,Inactive,4,,,7.99,2.68306,11.724,6.73392,5.52502
552,46500400,5311036,Inactive,4,,,7.97,1.00894,7.12093,7.4106,9.39129
553,24817493,3730790,Inactive,4,,,7.96,2.6021,5.22707,11.4592,7.18581
554,56319528,24980805,Inactive,4,,,7.95,1.21204,6.61197,7.68858,9.5464
555,49643298,3176328,Inactive,4,,,7.9,2.60785,5.7906,6.3264,11.5711
556,17403017,1487201,Inactive,4,,,7.89,1.59759,5.75564,8.29886,9.60296
557,26660686,1853121,Inactive,4,,,7.85,1.21972,6.19793,8.2439,9.10643
558,24817754,16195066,Inactive,4,,,7.8,1.3215,9.67034,6.83877,6.89613
559,92763357,5353548,Inactive,4,,,7.75,2.28143,7.4727,10.6795,5.11252
560,57263741,4849613,Inactive,4,,,7.74,3.41835,12.0001,7.57957,3.63127
561,47203686,2841629,Inactive,4,,,7.71,1.76993,7.0405,5.9632,10.1387
562,24797711,2169847,Inactive,4,,,7.71,1.00967,6.82396,9.11895,7.1732
563,4244607,3239182,Inactive,4,,,7.69,0.745401,8.21952,8.20519,6.63117
564,87336120,44601539,Inactive,4,,,7.68,3.91083,13.2025,5.22398,4.62155
565,17514227,674281,Inactive,4,,,7.62,5.14426,14.1058,7.22536,1.52333
566,49671613,2808836,Inactive,4,,,7.6,1.64717,9.73381,5.72504,7.33375
567,47200820,1111774,Inactive,4,,,7.53,1.05214,8.88165,7.40862,6.31371
568,87349475,2911540,Inactive,4,,,7.48,5.78516,5.36982,15.3775,1.68513
569,862182,663406,Inactive,4,,,7.43,1.6496,6.7739,5.82037,9.69762
570,17406968,11958390,Inactive,4,,,7.26,1.65495,4.98902,8.89347,7.88536
571,14733521,2136878,Inactive,4,,,7.25,0.942066,8.57026,6.74493,6.43496
572,14747109,9552048,Inactive,4,,,7.23,4.80031,2.21015,13.7003,5.79277
573,24817921,1472403,Inactive,4,,,7.22,0.781083,8.25072,7.04542,6.36127
574,7968308,709823,Inactive,4,,,7.2,7.12082,3.1804,1.21103,17.2047
575,24786865,778488,Inactive,4,,,7.18,4.09905,12.6609,2.80526,6.07172
576,17510678,12005309,Inactive,3,,,7.15,0.803908,6.49155,6.67628,8.28174
577,17514818,7080336,Inactive,3,,,7.12,1.23754,6.20755,6.27521,8.86593
578,26668602,655486,Inactive,3,,,7.09,1.00948,7.45122,8.10465,5.71263
579,7972039,712506,Inactive,3,,,7.07,0.831707,7.03469,8.10967,6.07347
580,121284977,51360338,Inactive,3,,,7.06,3.1713,8.15671,10.2785,2.74606
581,121282559,51358853,Inactive,3,,,6.94,8.42036,1.29812,0.682526,18.8447
582,49648281,930415,Inactive,3,,,6.92,3.34444,11.6469,4.37135,4.74814
583,57255971,4802971,Inactive,3,,,6.87,5.3602,5.5075,1.09906,14.0139
584,85201296,44202380,Inactive,3,,,6.81,2.4207,4.71517,10.2029,5.51422
585,85301898,16656440,Inactive,3,,,6.76,1.45439,6.40789,5.1883,8.6969
586,125306144,53383471,Inactive,3,,,6.71,3.58781,9.17947,9.3176,1.63858
587,24794904,2172353,Inactive,3,,,6.7,2.77045,8.71869,8.59331,2.78
588,26659488,16681841,Inactive,3,,,6.7,5.83761,4.14919,1.16727,14.7694
589,49681032,2990822,Inactive,3,,,6.69,1.85639,5.54312,9.31317,5.22636
590,56323501,25681,Inactive,3,,,6.69,1.62532,7.75324,7.91621,4.38978
591,49821937,7711296,Inactive,3,,,6.67,3.80523,7.69271,1.57786,10.7275
592,860867,662143,Inactive,3,,,6.6,1.39121,6.00217,5.27593,8.52246
593,47194649,851982,Inactive,3,,,6.46,1.31276,8.3079,5.35962,5.72213
594,89853906,44825381,Inactive,3,,,6.44,0.105728,6.30667,6.5648,6.45389
595,3711458,2366349,Inactive,3,,,6.36,1.70141,8.53963,4.3865,6.1628
596,99360764,2803708,Inactive,3,,,6.34,2.97763,8.1726,8.71631,2.14552
597,47197270,23723482,Inactive,3,,,6.34,0.261714,5.99206,6.6184,6.42353
598,85301938,44263578,Inactive,3,,,6.32,0.864094,7.48204,5.4085,6.07743
599,14728287,7285299,Inactive,3,,,6.31,3.77882,10.9757,1.72068,6.22317
600,49817930,3294241,Inactive,3,,,6.31,5.98832,5.64241,13.9498,-0.673434
601,49734716,20881143,Inactive,3,,,6.29,6.4504,3.56277,0.119085,15.1953
602,24801319,2826762,Inactive,3,,,6.27,1.75748,4.15798,8.46058,6.18681
603,47201620,3176404,Inactive,3,,,6.23,1.18594,7.88283,5.14628,5.67046
604,24807594,2829587,Inactive,3,,,6.22,1.54227,6.80142,7.7572,4.11409
605,24822186,2767245,Inactive,3,,,6.17,3.1834,10.6133,4.58313,3.31673
606,16953255,3990126,Inactive,3,,,6.17,1.91868,6.1277,3.83785,8.53713
607,24810067,3110862,Inactive,3,,,6.16,1.62622,8.13526,6.19303,4.15225
608,22416343,2169568,Inactive,3,,,6.07,2.48691,6.73589,2.74939,8.73163
609,49647776,5924457,Inactive,3,,,6.02,0.542859,6.77536,5.75293,5.52786
610,49724923,24792241,Inactive,3,,,5.97,1.45228,7.55287,6.31569,4.04584
611,47202655,1356290,Inactive,3,,,5.94,2.15426,6.19677,3.17999,8.43778
612,56319204,24980660,Inactive,3,,,5.92,1.34535,7.60914,4.31685,5.83841
613,17386395,11948779,Inactive,3,,,5.89,0.571294,6.69449,5.50529,5.46111
614,24793285,1394168,Inactive,3,,,5.84,1.78886,4.70173,4.45669,8.36801
615,93576615,45479741,Inactive,3,,,5.69,2.24411,5.34458,8.5892,3.12418
616,846154,54684668,Inactive,3,,,5.64,2.96979,2.00009,5.6443,9.27457
