PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
72,7976100,763728,Active,57,,,102.2,16.2807,103.197,81.7826,121.625
73,56463507,6420006,Active,56,,,101.55,7.31719,95.7404,97.0347,111.869
74,47199031,764635,Active,56,,,101.37,5.71312,94.4654,101.177,108.456
75,24834912,3316998,Active,56,,,100.9,9.42129,87.7718,109.451,105.463
76,4260108,782050,Active,56,,,100.6,8.85328,110.985,89.3496,101.451
77,26732628,9951033,Active,56,,,100.33,5.2781,97.1754,107.77,96.055
78,46500358,11957706,Active,55,,,100.21,9.95052,100.761,87.7629,112.118
79,92763410,270861,Active,55,,,100.09,7.44835,101.29,108.552,90.4264
80,49641269,2950330,Active,55,,,100.05,6.67866,108.19,100.144,91.8311
81,7973089,199200,Active,55,,,99.23,7.6602,88.9326,107.292,101.466
82,17515321,12006007,Active,55,,,98.87,4.68257,100.76,92.4302,103.424
83,14731775,1377542,Active,54,,,98.51,5.15154,94.0406,105.731,95.7724
84,14746035,2838302,Active,54,,,98.1,9.36021,104.316,105.105,84.8662
85,47198911,750733,Active,54,,,98.08,10.2971,111.194,86.0394,97.0067
86,7975866,792508,Active,54,,,97.91,5.52923,105.724,94.1269,93.8667
87,47198192,3716622,Active,54,,,97.87,1.55756,100.065,96.9854,96.5745
88,11532952,6852389,Active,54,,,97.26,6.72406,87.7607,102.374,101.648
89,24798161,16189988,Active,54,,,97.18,14.3517,116.844,82.9885,91.7166
90,47202176,1208567,Active,53,,,95.35,2.22056,96.1711,97.5715,92.3196
91,56463344,23930391,Active,52,,,94.51,4.00484,97.283,97.3909,88.8419
92,24837424,4365190,Active,52,,,94.45,13.3015,88.7053,81.8097,112.835
93,24824134,14987,Active,52,,,94.18,6.7102,102.027,94.8711,85.6342
94,24829316,16196143,Active,52,,,93.93,13.1259,84.1355,112.487,85.1787
95,4262450,1378308,Active,52,,,93.15,6.50529,101.978,86.497,90.9666
96,22403440,757483,Active,51,,,92.98,4.88955,92.8315,87.0692,99.0433
97,858862,401019,Active,51,,,92.93,11.0855,82.3237,88.231,108.23
98,47198211,750803,Active,51,,,92.9,9.4005,105.5,90.2606,82.9312
99,11533045,443951,Active,51,,,92.76,15.4809,85.0726,78.8569,114.36
100,7966869,6603284,Active,51,,,92.49,7.20854,98.0108,97.1531,82.3084
101,7972127,765549,Active,51,,,92.33,11.6014,101.642,75.9761,99.3739
102,47200810,17366523,Active,51,,,92.28,3.73457,89.413,89.8664,97.5522
103,4242145,3237037,Active,51,,,92.22,7.94111,100.185,81.3797,95.0899
104,46500430,6917794,Active,51,,,91.67,8.7961,85.5685,85.3249,104.105
105,846143,648522,Active,50,,,90.65,11.2169,81.0584,106.389,84.507
106,49670809,24761613,Active,50,,,90.21,5.54431,93.6836,82.3882,94.5657
107,47200371,2772320,Active,50,,,90.16,8.64278,91.4961,78.9652,100.008
108,51088874,5309628,Active,50,,,89.8,4.95408,92.3411,94.1866,82.8769
109,4250874,3244629,Active,50,,,89.74,9.78585,75.908,97.082,96.2254
110,99494755,7436,Active,50,,,89.68,4.85882,83.949,89.2656,95.8288
111,26659303,1115801,Active,49,,,89.35,9.37568,102.509,84.1425,81.3848
112,7974869,828556,Active,49,,,88.44,0.848809,88.0138,87.6795,89.6238
113,47202668,2946645,Active,47,,,85.93,11.7405,101.45,73.0612,83.2753
114,24800742,16192411,Active,47,,,85.77,8.6327,85.4115,96.5194,75.3829
115,56463206,11957703,Active,47,,,85.52,7.52361,75.4928,93.616,87.4496
116,24782006,16187719,Active,47,,,85.39,7.12146,91.7437,88.9764,75.4445
117,24833185,135519896,Active,47,,,85.23,7.42172,94.3096,85.2543,76.1302
118,49665440,17366462,Active,47,,,85.05,12.4361,90.5342,67.8407,96.7862
119,24821668,1489112,Active,47,,,84.42,6.23091,86.9722,75.8358,90.4425
120,22416977,15945839,Active,46,,,83.82,10.5276,69.1836,88.7831,93.4966
121,47198663,754229,Active,46,,,83.65,2.213,86.7516,81.7304,82.4722
122,24840619,2998389,Active,46,,,83.21,6.73731,84.3401,74.456,90.8431
123,56423124,444034,Active,46,,,83.02,6.05022,85.9251,88.5342,74.5957
124,7976152,791288,Active,46,,,82.44,4.74723,86.9384,84.5026,75.8735
125,24820938,16195187,Active,46,,,82.44,8.84128,84.1892,92.2824,70.8395
126,24833137,4884886,Active,45,,,82.03,1.50361,84.0866,81.4816,80.5293
127,24785204,16188726,Active,45,,,81.85,3.788,77.3099,86.5828,81.6609
128,26671083,1918397,Active,45,,,81.47,5.32421,87.7561,81.92,74.7376
129,47199006,3504101,Active,45,,,81.4,8.27875,76.3712,74.7667,93.0758
130,49648554,3787353,Active,45,,,81.24,14.9671,84.8305,61.3861,97.518
131,24818563,1473522,Active,45,,,80.68,4.87446,76.9193,77.555,87.5628
132,3717532,3000046,Active,44,,,80.18,3.17027,81.8457,82.9575,75.7458
133,47201247,2893620,Active,44,,,80.06,9.14444,91.0553,80.4558,68.6666
134,4243095,3237862,Active,44,,,79.7,9.60819,78.7709,68.4246,91.9047
135,3715278,2999148,Active,44,,,79.49,6.01794,80.3112,71.7382,86.4097
136,56463278,173870,Active,43,,,78.49,14.7915,97.1018,60.9143,77.4598
137,121285062,51360422,Active,43,,,78.44,5.94347,80.0274,70.5038,84.8018
138,857539,6602775,Active,43,,,78.43,5.18164,85.6522,73.7389,75.9037
139,47194179,1122311,Active,43,,,78.26,6.00292,80.7995,69.976,84.0072
140,22416124,2934437,Active,43,,,77.98,5.66734,75.9253,72.3045,85.721
141,4248204,3242312,Active,43,,,77.68,4.06182,80.5344,80.5694,71.9356
142,4259427,1500645,Active,43,,,77.33,3.59433,81.7316,72.9273,77.3352
143,47202728,23724316,Active,42,,,75.91,8.62666,64.7683,77.1776,85.7849
144,844959,647294,Active,42,,,75.87,6.44489,77.1154,67.4255,83.0637
145,24796065,2935972,Active,42,,,75.7,15.8307,60.9294,97.6565,68.5183
146,26661620,16239891,Active,41,,,75.09,6.51152,83.2403,67.3034,74.7136
147,24818773,2766354,Active,41,,,74.95,1.71383,77.3393,73.3939,74.1243
148,7971820,2155099,Active,41,,,74.75,9.95701,78.0683,84.9445,61.2412
149,7975148,1148134,Active,41,,,74.24,9.92115,60.4153,79.072,83.2298
150,47203805,17366413,Active,41,,,73.88,5.19492,75.8355,66.7716,79.0383
151,92763690,45280977,Active,40,,,73.41,6.15799,67.462,70.8734,81.8923
152,49641803,24746832,Active,40,,,72.76,5.3216,74.7824,78.0238,65.4689
153,864830,666078,Active,40,,,72.72,3.51155,67.7811,74.7241,75.6498
154,24799700,16191370,Active,40,,,72.55,18.5678,68.6674,96.9806,51.9985
155,26732115,16746299,Active,40,,,72.29,12.2941,87.9688,57.9439,70.9473
156,24834299,135519935,Active,39,,,71.53,3.11514,75.293,67.6642,71.621
157,7978167,787169,Active,39,,,70.96,2.23326,68.8769,74.0588,69.95
158,865771,667032,Active,39,,,70.75,6.36526,77.7328,72.1839,62.3396
159,47197187,23723421,Active,39,,,70.73,9.85232,59.4122,83.427,69.3518
160,85271260,16243167,Active,39,,,70.25,2.88506,66.1942,72.644,71.9204
161,47198906,2838159,Active,38,,,69.77,5.83345,62.9254,77.1806,69.203
162,865495,666749,Active,38,,,69.73,8.19341,77.2,58.3201,73.6556
163,855844,5070,Active,38,,,69.58,2.43041,66.1614,71.6142,70.9569
164,47196391,2861859,Active,38,,,69.51,14.6375,50.1513,72.8419,85.5384
165,49676425,16798213,Active,38,,,69.18,7.10467,62.635,79.0511,65.8403
166,24837531,4024720,Active,38,,,69.09,4.39291,62.9068,72.726,71.6278
167,47204779,17139274,Active,38,,,68.21,1.64539,67.2994,70.5147,66.8024
168,51086306,18574758,Active,36,,,65.91,4.51367,68.5849,59.5479,69.5826
169,47194123,750850,Active,36,,,65.87,5.69774,62.7593,73.8657,60.9931
170,24797935,16189856,Active,36,,,65.51,8.98355,70.7433,72.9248,52.8709
171,26661171,135484403,Active,36,,,65.48,10.2935,65.2381,78.2051,52.9948
