SMILES,PUBCHEM_ACTIVITY_OUTCOME
CCC(=O)NC1=NC(=CS1)C2=CC3=C(C=C2)N(C(C3)C)S(=O)(=O)C,0
CC1=CC=CN2C1=NC3=C(C2=O)CC4(C5N3CCC(C5)CC6=CC=CC=C6)C(=O)N(C(=O)N(C4=O)C)C,0
C1=CC=C(C(=C1)[N+](=O)[O-])OCC(=O)OCC(=O)C2=CC=C(S2)Br,0
CCN(CC)CCN(C1=NC2=C(C=CC(=C2S1)OC)OC)C(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC)C4=CC=CC=C4.Cl,0
COC1=C(C=CC(=C1)C(C#N)N2CCOCC2)O,0
CC1=CC=CC=C1SCC(=O)N/N=C/C2=CC=C(C=C2)F,0
CCOC1=C2CN(CC[C@@H]2N([C@@H](C1)C3=CC=CC=C3)S(=O)(=O)C4=CC=C(C=C4)C)S(=O)(=O)C5=CC=C(C=C5)C,0
CC/C(=N\NC(=O)NC1=NON=C1N)/C2=CC(=C(C=C2)OC)OC,0
CCCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)C3=CC(=CC=C3)N4C=CC=C4,0
CN(CC(=O)NC1=CC(=C(C=C1)Cl)C(F)(F)F)C(=O)CCN2C(=O)C3CC=CCC3C2=O,0
CCCCSC1=NN=C(N1C)C2=CC=C(C=C2)C,0
CC1=C(SC(=N1)C)C(=O)NNC(=O)C2=CC=C(C=C2)Br,0
CC1=NC=C(C=C1)OCC2=CC(=NO2)C(=O)NC3CCC4=CC=CC=C34,0
C1=CC=NC(=C1)C(=O)NNC(=O)C2=CC(=CC=C2)[N+](=O)[O-],0
C1CN(CCN1C2=CC=CC=N2)C(=S)NC3=CC=CC(=C3)C(F)(F)F,0
CC1=C(C=CC2=C1OC(=O)C3=C2CCC3)OCC(=O)NCC4CCC(CC4)C(=O)O,0
CC1=CC=C(C=C1)CNS(=O)(=O)NCC2=CC=CC=C2F,0
CS(=O)(=O)N(CC1=CC=CO1)CC(CN2C=C(C3=CC=CC=C32)C=O)O,0
C1=CC=C(C=C1)C2=NN(C=C2/C=N/NC(=O)C3=CC=NC=C3)C4=CC=CC=C4,0
C1=CN2C=C(N=C2N=C1)C3=CC=C(C=C3)Br,0
COC1=C(C=C(C=C1)C(=O)C2=CC=CC=C2)Br,0
C1C=C(CC2C1C(=O)N(C2=O)CNC3=CC=CC=C3C(=O)O)Cl,0
CCSC1=C(N=C(O1)C2=CC=CO2)S(=O)(=O)C3=CC=C(C=C3)F,0
C1=COC(=C1)C(=O)NC2=CC(=C(C=C2)Cl)Cl,0
CC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2OC3=NC(=CC(=N3)OC)OC,0
C1CN(CCN1C(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-])S(=O)(=O)C3=CC=C(C=C3)Cl,0
C1=CC(=CC(=C1)C(=O)O)C2=CC=C(O2)/C=C/3\C(=O)OC(=N3)C4=CC=CS4,0
C1=CC=C(C=C1)OCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC=N3,0
C1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl,0
COC1=CC=CC=C1C2=NN=C3N2N=C(S3)C4=NC=CN=C4,0
CC(C1CC1)N(C2=CC=C(C=C2)OC)C(=O)C3=CC=CC=C3OC(=O)C,0
CC1=C(C=C(C=C1)Cl)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)N(C(=O)C4)C,0
C1C(=C2C3=C(C14C5=CC=CC=C5NC4=O)C=CC=C3NC2=O)C(=O)O,0
CC1=NC2=C(S1)C=C(C=C2)C(=O)NC3=CC=CC=C3Cl,0
C1CCN(C1)S(=O)(=O)C2=CC(=C(C=C2)OCC3=CC=C(C=C3)F)C(=O)N,0
CC1=CC2=C(C=C1)N=C(C=C2C(=O)NCC3CCCO3)C4=CC=C(C=C4)Br,0
C1CCN(CC1)CC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,0
C1CCN(CC1)CCNC(=O)C2=C(C=CC(=C2)Cl)Cl,0
CC(CN1CCN(CC1)C)OC(=O)C2=CC(=CC=C2)Cl.Cl,0
C1=CC=C(C(=C1)NC(=O)CCC(=O)OCC(=O)C2=CC(=CC=C2)[N+](=O)[O-])Cl,0
CC1=CC(=C(N1C2=CC=CC=C2)C)C(=O)COC(=O)C3=CC=CNC3=O,0
CC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)N3CCN(CC3)C4=CC=CC=C4O)F,0
CC(C1=NN=C(N1CC2=CC=CC=C2)SCC(=O)NC3=C(N=CC=C3)Cl)N(C)C,0
CC1(CC2=C(CO1)C(=NC(=C2C#N)OC)C3=CC=CC=C3)C,0
CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C,0
CC(C(=O)NCC1=CC=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)F,0
COC(=O)C1=CN(C(=O)C2=CC=CC=C21)NC(=O)C3=CC(=CC=C3)F,0
CCCCN(C1=C(N(C(=O)NC1=O)CCC)N)C(=O)COC(=O)CSC2=NC3=CC=CC=C3C(=C2)C,0
COC1=CC=C(C=C1)N2CCN(CC2)C(=O)NC3CC(=O)N(C3)C4=CC=C(C=C4)OC,0
COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F.C(=C\C(=O)O)\C(=O)O,0
C/C(=N\NC1=CC=C(C=C1)[N+](=O)[O-])/C2=CC=C(C=C2)N3C(=CN=N3)C(C)(C)C,0
CCOC(=O)C1=C(SC=C1C2=CC=CC=C2)N3C(=O)NC4=CC=CC=C4N3O,0
CC(=O)NC1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C(=O)N2CCOC)NC4=CC=CC=C43,0
CC1=CC(=NO1)NC(=O)CSC2=NN=C(O2)C,0
CC(=O)OC1=CC(=CC(=C1OC(=O)C)OC(=O)C)C(=O)OCC(=O)N2CCC3=CC=CC=C3C2,0
COC1=CC=C(C=C1)CNCCC(C2=CC=C(C=C2)OC)C3=CC=CC=C3OC,0
C1=CC=C2C(=C1)C=CC=[N+]2CC(CN3C4=CC=CC=C4C5=CC=CC=C53)O.[O-]Cl(=O)(=O)=O,0
CC(=O)NS(=O)(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2[N+](=O)[O-],0
C1=CC(=NC(=C1)COC2=CC=C(C=C2)[N+](=O)[O-])COC3=CC=C(C=C3)[N+](=O)[O-],0
CC1=C(C(=CC=C1)C)N2C(=CC(=C2C)/C=N/NC(=O)COC3=NC(=CC(=C3C#N)COC)C)C,0
C1CCCN(CC1)C2=NN=C(C3=CC=CC=C32)C4=CC=CS4.C(=O)(C(=O)O)O,0
CO/N=C/C(=N\NC1=CC=CC=C1)/C(=O)C2=CC=CC=C2,0
CC1=C(C(=NC2=C(C(=NN12)C)C3=CC=CC=C3)C)CC(=O)O,0
C1CCC(CC1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCCC3,0
C1=CC=C(C=C1)CC(C(=O)O)NC(=O)/C(=C/C2=CC=C(C=C2)[N+](=O)[O-])/NC(=O)C3=CC=CC=C3Br,0
CC1=CC=C(C=C1)S(=O)(=O)NCC(=O)N/N=C/C2=CC=C(C=C2)Cl,0
