smiles,PUBCHEM_ACTIVITY_OUTCOME,broad_id
OC(=O)c1cc(O)c(O)c(O)c1,0.511005699634552,BRD-K77345217-001-05-0
"C[C@@H](O)CC(C)(C)O |&1:1,r|",0.5108736753463745,BRD-A14234430-001-01-4
C1CN(CCN1)c1ccc2ccccc2n1,0.5091147422790527,BRD-K77925998-050-14-3
C(N1CCN(CC1)c1ncccn1)c1ccc2OCOc2c1,0.505592942237854,BRD-K47936004-003-11-4
NC(=N)S\C=C/C(O)=O,0.4993924200534821,BRD-K44825564-065-01-4
"C[C@@H](O)COC[C@H]1O[C@@H]2O[C@@H]3[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]4[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]5[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]6[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]7[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]8[C@@H](COC[C@@H](C)O)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O |a:6,8,10,11,19,21,22,30,32,33,41,43,44,52,54,55,63,65,66,74,76,77,79,81,83,85,87,89,91,93,95,97,99,101,103,&1:1,&2:15,&3:26,&4:37,&5:48,&6:59,&7:70|",0.49731829762458796,BRD-A01412266-001-01-0
CC(O)CC(O)=O,0.4867428541183472,BRD-A41387824-001-06-0
CCN(CC)C(=O)N[C@@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34 |c:23|,0.452564150094986,BRD-K67943528-050-01-4
CCCN1CCO[C@H]2[C@H]1COc1ccc(O)cc21,0.4442419409751892,BRD-K62456038-003-08-9
CCCN(C\C=C\I)[C@H]1CCc2cccc(O)c2C1 |&1:8|,0.4401106834411621,BRD-A60594020-034-01-1
NC[C@H](O)c1ccc(O)c(O)c1,0.4369710385799408,BRD-K87349682-347-08-9
OCC(CO)OP(O)(O)=O,0.42986124753952026,BRD-K39061174-001-01-0
[Na].OC(=O)C(Cl)Cl,0.427032858133316,BRD-M97302542-001-04-4
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc12,0.4013147354125977,BRD-K00004557-001-01-9
O[C@H]([C@@H](O)C(O)=O)C(O)=O,0.4000399708747864,BRD-K36474365-001-09-9
Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1,0.3991269767284393,BRD-A09828896-004-12-8
CCCN(C\C=C\I)[C@H]1CCc2ccc(O)cc2C1 |&1:8|,0.3981924951076508,BRD-K01825667-050-01-9
"[NaH].[NaH].[NaH].[NaH].[NaH].[NaH].CC(O)([C@@H](CC(O)=O)C(O)=O)C(O)=O.CC(O)([C@H](CC(O)=O)C(O)=O)C(O)=O |a:9,23,&1:7,&2:21|",0.3929527103900909,BRD-M01344114-348-01-0
CCCN[C@H]1CCc2nc(N)sc2C1,0.3910336494445801,BRD-K06388322-300-01-3
NCCc1c[nH]c2ccc(O)cc12,0.380376935005188,BRD-K38580127-003-15-4
O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(CC1)c1ncccn1,0.3770665228366852,BRD-K65904673-003-01-0
FC(F)(F)c1ccc(nc1Cl)N1CCNCC1,0.36396849155426025,BRD-K07409305-001-01-1
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0.358965277671814,BRD-A61194565-003-28-8
"C[C@@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1 |&1:1,&2:11,r|",0.3571038842201233,BRD-A87130939-001-07-9
"CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O |a:2,5,7,8,11,13,15,22,24,28,&1:3,c:19|",0.3314296901226044,BRD-A68997559-065-04-5
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O |c:19|,0.3314296901226044,BRD-K71772032-001-01-3
"CN[C@H]1CCc2ncsc2C1 |&1:2,r|",0.3267703950405121,BRD-K00004658-001-01-9
O=c1cccc2[C@@H]3C[C@@H](CN(CCN4C[C@@H]5C[C@H](C4)c4cccc(=O)n4C5)C3)Cn12,0.322075754404068,BRD-K17751100-001-02-9
Oc1ccc(CCNC[C@H]2CCc3ccccc3C2=O)cc1 |r|,0.3100678324699402,BRD-A24429032-003-03-2
CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@@H](C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)NC(=O)[C@@H](O)CN)OC[C@]1(C)O,0.3089675605297089,BRD-K74759733-001-01-9
OC(=O)C(O)=Cc1c[nH]c2ccccc12,0.30739232897758484,BRD-K09109825-001-07-3
"CC1(C)[C@@H]2CC[C@@]1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O |&1:3,6|",0.3035085201263428,BRD-K00004544-001-01-9
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34 |c:24|,0.3000154197216034,BRD-K35941380-050-27-9
"Clc1ccc(cc1Cl)[C@@]12C[C@@H]1CNC2 |&1:8,&2:10|",0.296828031539917,BRD-A68942014-003-01-7
CNC[C@@H](O)c1ccc(O)cc1 |&1:3|,0.29678988456726074,BRD-K01825585-003-03-9
"OC[C@H]1O[C@H]2O[C@H]3[C@@H](CO)O[C@@H](O[C@H]4[C@@H](CO)O[C@@H](O[C@H]5[C@@H](CO)O[C@@H](O[C@H]6[C@@H](CO)O[C@@H](O[C@H]7[C@@H](CO)O[C@@H](O[C@H]8[C@@H](CO)O[C@@H](O[C@@H]1[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]8O)[C@@H](O)[C@@H]7O)[C@@H](O)[C@@H]6O)[C@@H](O)[C@@H]5O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@@H]3O |&1:2,&2:4,&3:6,&4:7,&5:11,&6:13,&7:14,&8:18,&9:20,&10:21,&11:25,&12:27,&13:28,&14:32,&15:34,&16:35,&17:39,&18:41,&19:42,&20:46,&21:48,&22:49,&23:51,&24:53,&25:55,&26:57,&27:59,&28:61,&29:63,&30:65,&31:67,&32:69,&33:71,&34:73,&35:75,r|",0.2945471405982971,BRD-A08079565-001-01-8
O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2,0.2938685417175293,BRD-K67789209-001-01-0
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0.2862979769706726,BRD-K87424134-001-01-0
Oc1ccc2[C@H]3c4cc(O)c(O)cc4C[C@@]3(O)COc2c1O,0.2829320728778839,BRD-K78342372-001-03-2
OC[C@@H](O)CN1CCN(CC1)c1ccccc1,0.28158846497535706,BRD-K83551379-001-03-9
"OC[C@@H](O)CN1CCN(CC1)c1ccccc1 |&1:2,r|",0.28158846497535706,BRD-A29349577-001-23-0
"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CC[C@@H](O)NC1=O |a:2,4,5,7,&1:12|",0.2765180766582489,BRD-A86248581-001-01-4
Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c1cc(O)c(O)c(O)c1,0.2759468257427216,BRD-K55591206-001-20-7
Oc1cc(CNC(=S)\C=C\c2cc(O)c(O)c(Br)c2)cc(O)c1O,0.27335458993911743,BRD-K54098378-001-02-4
"[H][C@]12CC[C@@H](CC)\C=C\C=C\C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)\C=C\C(=O)O[C@]([H])([C@@H]1C)[C@H](C)[C@@]1(CC[C@H](C)[C@H](C[C@@H](C)O)O1)O2 |t:7,9,35|",0.2717060744762421,BRD-K00003580-001-01-9
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O |t:37|,0.2654157876968384,BRD-K44276885-001-06-6
CN[C@H]1[C@@H](O)[C@H]2O[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)C[C@@H]2O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](N)[C@H](O)[C@H]1O,0.2654000818729401,BRD-K96737756-065-02-9
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c1[nH]c(N)nc2=O,0.26052990555763245,BRD-K78092779-001-01-6
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]2[C@H]1Cc1cn(C)c3cccc2c13,0.25792232155799866,BRD-K56699285-001-24-3
"O[C@@]12[C@H]3[C@H]4[C@H]5[C@@H]3[C@@H]([C@H]3[C@@H]5C[C@@H]4[C@@H]13)N2CCc1cccc(F)c1 |&1:1,&2:2,&3:3,&4:4,&5:5,&6:6,&7:7,&8:8,&9:10,&10:11,r,TLB:13:12:2.5:7.11|",0.25782710313797,BRD-K01825674-001-01-9
"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO |c:11,t:7|",0.25223204493522644,BRD-K18207669-001-03-9
Oc1cc(cc(O)c1O)C(=O)Oc1cc(cc(O)c1O)C(=O)OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,0.2507448792457581,BRD-K01584643-001-04-9
CN1CC[C@H]2Nc3ccc(C)cc3[C@H]2C1,0.2489199936389923,BRD-K33839500-001-01-0
CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1,0.2487450987100601,BRD-K70281171-050-08-9
CCn1cc(C(O)=O)c(=O)c2cnc(nc12)N1CCNCC1,0.2461050003767013,BRD-K08999871-001-16-9
"[H][C@@]12C[C@@]1(CNC2)c1ccc(C)cc1 |&1:1,3,r|",0.2428504079580307,BRD-K00004299-003-01-9
OC(=O)C\C(=C\C(O)=O)C(O)=O,0.23876115679740906,BRD-K71756122-001-02-5
O=C(N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2o1,0.2384504377841949,BRD-K99077012-001-01-9
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,0.2364770770072937,BRD-A78322124-003-16-5
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.2364170849323273,BRD-K74377520-001-01-7
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0.2355579882860184,BRD-K74724920-001-02-4
"CC(=O)N[C@H]1[C@@H](O)O[C@@H](CO)[C@@H](O)[C@H]1O |a:5,11,13,&1:4,&2:8|",0.23096102476119995,BRD-A92872453-001-01-8
O[C@@H](CCCN1CCN(CC1)c1ncc(F)cn1)c1ccc(F)cc1 |&1:1|,0.2303037643432617,BRD-A15435692-003-03-9
OC[C@H]1O[C@@H]2[C@@H](Oc3nc(=N)ccn23)[C@@H]1O,0.2299675643444061,BRD-K67536197-003-11-4
OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O,0.2274980098009109,BRD-K00003601-001-01-9
NC[C@H]1CC[C@@H](CC1)C(O)=O |r|,0.22330379486083984,BRD-K15014948-001-11-1
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.22295327484607694,BRD-K79254416-001-24-2
CO[C@@H]([C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)C(=O)[C@@H](O)[C@@H](C)O,0.22048449516296387,BRD-K36368047-001-01-7
"CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO |a:5,7,8,17,19,20,23,25,&1:3,c:15,t:11|",0.21913236379623413,BRD-A34299591-001-25-7
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,0.2171526402235031,BRD-K78712176-001-13-3
Clc1ccc(cc1)N1CCN(Cc2c[nH]c3ncccc23)CC1,0.21625684201717374,BRD-K05528470-305-03-0
CN(C)S(=O)(=O)N[C@H]1C[C@H]2[C@@H](Cc3cn(C)c4cccc2c34)N(C)C1,0.2145068496465683,BRD-K91336023-003-01-0
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,0.21287336945533752,BRD-K91868854-001-04-9
OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1\C=C\c1ccc(O)c(O)c1,0.2127746045589447,BRD-K00005247-001-01-9
"[H][C@@]12C[C@@]3([H])C[C@@](O)(C1)C[C@@]([H])(C2)C3=O |&1:1,3,6,10|",0.21204611659049988,BRD-K00003671-001-01-9
"OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H]3CC=C(CO)[C@@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O |c:8,t:12|",0.21193072199821472,BRD-K73771095-001-03-3
"C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO |&1:1,&2:3,&3:4,&4:13,&5:15,&6:17,&7:20,&8:22,r,c:11,t:7|",0.20833542943000796,BRD-A73385064-001-01-5
"C[C@H]1[C@H]2[C@@H](C[C@H]3[C@H]4CC=C5C[C@@H](CC[C@@]5(C)[C@@H]4CC[C@@]23C)O[C@H]2O[C@@H](CO)[C@@H](O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H]2O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@]11CC[C@@H](C)CN1 |&1:1,&2:2,&3:3,&4:5,&5:6,&6:11,&7:14,&8:16,&9:19,&10:22,&11:24,&12:27,&13:29,&14:31,&15:33,&16:35,&17:37,&18:39,&19:41,&20:43,&21:45,&22:47,&23:49,&24:51,&25:54,&26:57,r,t:8|",0.20673274993896484,BRD-A65562236-001-01-2
[H][C@@]1(O[C@@H]2[C@@H](COS(O)(=O)=O)O[C@H](O[C@@]3([H])[C@H](O)[C@@H](OS(O)(=O)=O)[C@H](O[C@@]4([H])[C@H](O)[C@@H](NS(O)(=O)=O)[C@@H](OC)O[C@@H]4COS(O)(=O)=O)O[C@H]3C(O)=O)[C@H](NS(O)(=O)=O)[C@H]2OS(O)(=O)=O)O[C@@H]([C@@H](O[C@@]2([H])O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]2NS(O)(=O)=O)[C@H](O)[C@H]1O)C(O)=O,0.20648938417434687,BRD-K00003513-363-01-9
Clc1ccc2c(CCc3cccnc3C2=C2CCNCC2)c1,0.20545385777950287,BRD-K82357231-001-18-3
"C[C@@H](S)C(=O)NCC(O)=O |&1:1,r|",0.20487676560878754,BRD-A85295731-001-06-4
C(Cc1ccccc1)NCc1ccccc1,0.20468448102474213,BRD-K13473780-001-02-1
"[H][C@]12CN(C)C[C@]1([H])c1cc(Cl)ccc1Oc1ccccc21 |&1:1,6|",0.1995298266410828,BRD-K00003551-050-01-9
O[C@@H](Cc1ccc(O)c(O)c1)C(O)=O |&1:1|,0.1899529844522476,BRD-A93699261-236-02-6
CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,0.1892501413822174,BRD-K76810206-001-07-3
"O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O |a:3,10,12,14,&1:1|",0.18851204216480252,BRD-A73427433-240-01-3
NCCc1c[nH]c2ccc(cc12)C(N)=O,0.188458263874054,BRD-K92382976-050-02-9
CC(C)C(=O)c1ccc(O)c(O)c1,0.188253715634346,BRD-K08953028-001-09-6
Cc1[nH]c2ccc(Cl)cc2c1C1=CCNCC1 |t:13|,0.18746915459632876,BRD-K47659338-003-03-6
C[C@@H](N)Cc1c[nH]c2ccc(OCc3cccs3)cc12 |&1:1|,0.18609283864498136,BRD-K01826747-003-10-9
C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O,0.18595656752586365,BRD-K07798980-001-02-9
Oc1cc2c3c(oc(=O)c4cc(O)c(O)c(oc2=O)c34)c1O,0.18337190151214602,BRD-K30466858-001-11-9
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,0.1818077117204666,BRD-K93814253-001-06-8
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,0.18091228604316711,BRD-K71013094-326-02-6
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,0.17778049409389496,BRD-K93461745-003-25-0
C[C@@H](N)Cc1ccc(O)cc1 |&1:1|,0.1756029725074768,BRD-A80871782-004-06-9
CCCN(CCC)CCc1cccc2NC(=O)Cc12,0.17414505779743195,BRD-K15933101-003-07-9
CC(C)c1cc(nc(N)n1)N1CC[C@@H](N)C1,0.17397582530975342,BRD-K00003403-001-01-9
OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.17337599396705627,BRD-K54028654-001-02-6
"CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO |c:14,t:10|",0.1731923222541809,BRD-K21528677-001-05-9
ClC(Cl)C(=O)NCCCCCCCCNC(=O)C(Cl)Cl,0.17265768349170685,BRD-K30930903-001-01-3
Clc1cc2NC(=O)[C@H]3CNCCN3c2cc1Cl |&1:7|,0.17184332013130188,BRD-A62021152-003-04-2
C[C@H](N)Cc1cnc[nH]1,0.17141559720039368,BRD-K28308851-303-02-9
C[C@@H]1C(=O)[C@H]2O[C@H]2C(=O)C1=O |&1:1|,0.17113834619522095,BRD-K00024725-001-01-9
C(N1CCN(CC1)c1ncccn1)c1cnc([nH]1)-c1ccccc1,0.17099356651306152,BRD-K28639661-001-01-6
Cn1c(=O)cnn(CCCCN2CCN(CC2)c2ncccn2)c1=O,0.17092695832252502,BRD-K87948281-001-02-9
NCCC(O)(P(O)(O)=O)P(O)(O)=O,0.16516044735908508,BRD-K58513245-304-03-5
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,0.1640353798866272,BRD-K36524108-065-06-5
OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c(O)c1,0.16367104649543762,BRD-K20313525-001-05-9
CC(=O)N[C@@H]1C[C@H](O)[C@@H](CO)O[C@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1C(O)=O,0.16348661482334134,BRD-K59788572-236-01-3
O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1,0.1624571532011032,BRD-K27529556-001-04-9
Nc1nc(N2CCNCC2)c2CCC3=C([C@@H]4CCCC[C@@H]4O3)c2n1 |t:14|,0.16129028797149658,BRD-K68982262-001-01-4
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0.16128118336200714,BRD-K88043978-002-08-9
Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,0.1612713634967804,BRD-K76244476-362-02-5
