SMILES,PUBCHEM_ACTIVITY_OUTCOME
CS(=O)(=O)O.C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4,1
C1CN(CCN1CC(COC2=CC3=C(C=C2)C=C(C=C3)Br)O)C4=CC=CC=N4,1
C1CCC2=NC3=CC=CC=C3C(=C2C1)N.O.Cl,1
COC1=C(C=C(C=C1)NC(=O)CSC2=NN=C(C=C2)C3=CC=CC=N3)OC,1
CCOC(=O)N1CCN(CC1)CC2=CC3=C(C=C2)OCO3,1
COC1=CC(=CC(=C1O)CN2CCN(CC2)C3=NC=CC=N3)Br,1
CC1=CC=C(S1)CN2CCN(CC2)C3=CC=CC=N3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC2=C(C=C(C=C2)Cl)Cl)C3=NC=CC=N3.C(=O)(C(=O)O)O,1
COC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3,1
C1CN(CCN1CC2=CSC=C2)C3=CC=CC=N3,1
C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CC6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,1
C1CN(CCN1CC2=CC=C(C=C2)O)C3=NC=CC=N3,1
C1=CC=C2C=C(C=CC2=C1)SCC(=O)NCCC3=CC(=C(C=C3)O)O,1
C1CN(CCN1CC2=C(C=CC(=C2)F)F)C3=NC=CC=N3,1
C1[C@H](O[C@H](C2=C1C(=C(C=C2)O)O)CN)C34CC5CC(C3)CC(C5)C4.Cl,1
C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3.Br,1
C1=NC(=C2C(=C(N(C2=N1)C3C(C(C(O3)CO)O)O)Br)C#N)N,1
CCC(=O)C1=CC=C(C=C1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O,1
COC1=CC(=C(C=C1)CN2CCN(CC2)C3=NC=CC=N3)OC,1
C1CN(CCN1CC(COCC2=CC=C(C=C2)Cl)O)C3=CC=CC=N3.Cl,1
C1CN(CCN1CC2=CC=C(C=C2)OCC3=CC=CC=C3)C4=CC=CC=N4,1
C1CN(CCN1CC2=CC=C(S2)Br)C3=CC=CC=N3,1
C1CN(CCN1CC2=CC=CC=C2Cl)C3=NC=CC=N3,1
CC1=C(SC=C1)CN2CCN(CC2)C3=CC=CC=N3,1
C1CN(CCN1CC2=CC=CC=C2)C3=NC=CC=N3,1
CN1CCC2=C3[C@@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,1
CN1C=C(C(=N1)C2=CC=CC=C2F)CNCC3=CN(N=C3)C4=CC(=CC=C4)OC,1
C1CN(CCN1CC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3F)C4=CC=CC=C4,1
C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CC6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.C(C(C(=O)O)O)(C(=O)O)O,1
CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)NC(=O)CN2CCN(CC2)C3=CC=CC=N3)C,1
CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CO,1
CC(C)(C)C1CCC(CC1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O.Cl,1
C1CN(CCN1CC2=CC(=CC=C2)OCC3=CC=CC=C3)C4=CC=CC=N4,1
C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC=CS3,1
C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=NC=CC=N4,1
CC1=CC(=CC=C1)CN2CCN(CC2)C3=NC=CC=N3,1
CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)C,1
CC(=O)C1=CC=C(C=C1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O.Cl,1
CC1=CC(=CC=C1)CN2CCN(CC2)C3=CC=CC=N3,1
COC1=CC=CC=C1CN2CCN(CC2)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3)C4=CC=CC=N4,1
CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O.Br,1
COC1=CC(=C(C=C1)OC)CN2CCN(CC2)C(=O)C3=CC=CS3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC2=CC=C(C=C2)Br)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
CC1(C2CCC1(C(=O)N(C2=O)CCCCN3CCN(CC3)C4=CC=CC=N4)C)C,1
CC(=O)N1CCC2=C1C=CC(=C2)C(=O)CN3CCN(CC3)C4=CC(=CC=C4)Cl,1
CCCCN(CC)CCCNC(=O)CC1C(=O)NC2=CC=CC=C2O1,1
CNCC(=O)C1=CC(=C(C=C1)O)O,1
CC1=CC=CC=C1C2=CC=C(O2)/C=C/3\C(=O)N=C(S3)N4CCOCC4,1
C1CN(CCN1CC2=CC=C(C=C2)Cl)C(=O)C3=CC=CO3,1
CC(=O)C1=CC(=C(C=C1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O)OC,1
CC(=O)N1CCC(CC1)N2CCCC(C2)C(=O)C3=CC(=CC=C3)Cl,1
C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O.Br,1
CC(COC1=CC=CC=C1)N2CCC(CC2)(CC3=CC=C(C=C3)OC)CO,1
CN=C1N(C(=CS1)C2=CC=C(C=C2)F)/N=C/C3=CC(=C(C=C3)O)O,1
CC1=CC=CC=C1CN2CCN(CC2)C(=O)C3=CC=CO3.C(=O)(C(=O)O)O,1
C1CN(CCN1CC2=CN=C(S2)Cl)C3=CC=CC=C3,1
COC1=CC(=CC=C1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O.Cl,1
C1CN(CCN1CC2=CC(=CC=C2)Br)C3=NC=CC=N3,1
C1CN(CCN1CC(COC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)O)C4=CC=CC=C4,1
CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O,1
COC1=CC(=C(C=C1)CN2CCN(CC2)C3=CC=CC=N3)OC,1
COC1=C(C=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CO3)OC.C(=O)(C(=O)O)O,1
CN(C)S(=O)(=O)C1=CC(=C(C=C1)Cl)NC(=O)CN2CCC3=CC=CC=C3C2,1
C1CN(CCC1(CC2=CC=CC=C2)CO)CC3=CC4=CC=CC=C4O3,1
CC1=C(C2=CC=CC=C2N1)NC(=O)CN3CCN(CC3)C(=O)C4=CC=CO4,1
COC1=CC=CC(=C1OC)CN2CCN(CC2)C3=NC=CC=N3,1
COC1=CC=CC(=C1O)C2=NC3=CC=CC=C3C(=N2)NC4CCCC4,1
C1CN(CCN1CC2=CN=C(C=C2)Cl)C3=CC=CC=C3,1
C1CN(CCN1CC(COCC2=CC=CS2)O)C3=CC=CC=N3,1
CCOC(=O)C1=CCN(CC1)CC2=CC=CC=C2.Cl,1
CC1=C(C(=NC2=NC=NN12)C)CCC(=O)NCCCN3CCN(CC3)C4=CC(=CC=C4)Cl,1
CC(=O)C1=CC(=CC=C1)OCC(CN2CCC(=CC2)C3=CC=CC=C3)O.C(=O)(C(=O)O)O,1
CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O.Br,1
CCC(C1=NN=NN1C2=C(C=CC=C2C)C)N3CCN(CC3)C/C=C/C4=CC=CC=C4,1
